algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,recall/ap
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=8)",bigann-10M,10,169269.85971879188,126.0561,1000000.0,1272960.0,7.520299255371094,0,0,0.35813
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=128)",bigann-10M,10,8732.697229308089,3721.7124,1000000.0,1272960.0,145.76939593505858,0,0,0.76204
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=16)",bigann-10M,10,35865.612039847794,973.3515,1000000.0,1272960.0,35.4924934387207,0,0,0.62904
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=4)",bigann-10M,10,179404.76496000684,126.5746,1000000.0,1272960.0,7.095463714599609,0,0,0.34159
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=32)",bigann-10M,10,86886.62262575793,124.1604,1000000.0,1272960.0,14.65081690979004,0,0,0.39893999999999996
faiss-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=4)",bigann-10M,10,261824.90090202566,63.818,1000000.0,1272960.0,4.861875228881836,0,0,0.22031
faiss-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=64)",bigann-10M,10,49123.5812406963,246.7217,1000000.0,1272960.0,25.913420150756835,0,0,0.51052
faiss-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=104)",bigann-10M,10,277739.0475181438,15.9984,1000000.0,1887520.0,6.796019561767578,0,0,0.02979
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=128)",bigann-10M,10,22120.398180499702,963.9446,1000000.0,1272960.0,57.546884536743164,0,0,0.6823
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=8)",bigann-10M,10,66744.70489011951,494.8846,1000000.0,1272960.0,19.072074737548828,0,0,0.53067
faiss-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=32)",bigann-10M,10,31961.228673103153,972.1294,1000000.0,1272960.0,39.82825607299805,0,0,0.6622899999999999
faiss-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=98)",bigann-10M,10,283264.9422570406,15.9984,1000000.0,1887520.0,6.663443717956543,0,0,0.01893
faiss-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=112)",bigann-10M,10,275137.36191650707,15.9984,1000000.0,1887520.0,6.860282394409179,0,0,0.05245999999999999
faiss-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=16)",bigann-10M,10,122281.13292809142,125.0096,1000000.0,1272960.0,10.410109634399415,0,0,0.39055
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=32)",bigann-10M,10,18914.134968771843,1907.5258,1000000.0,1272960.0,67.30204696655274,0,0,0.70268
faiss-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4,ht=92)",bigann-10M,10,272488.3385522914,15.9984,1000000.0,1887520.0,6.92697533416748,0,0,0.01181
faiss-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=4)",bigann-10M,10,258771.87895240152,31.9818,1000000.0,1272960.0,4.919236221313477,0,0,0.15655
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=64)",bigann-10M,10,17305.8616159549,1904.8986,1000000.0,1272960.0,73.55658032226562,0,0,0.7255
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=64)",bigann-10M,10,38789.134280765255,489.3293,1000000.0,1272960.0,32.81743775939942,0,0,0.6053499999999999
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=128)",bigann-10M,10,15159.760511939163,1897.8624,1000000.0,1272960.0,83.96966423034668,0,0,0.73191
faiss-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=128)",bigann-10M,10,28945.238529020433,488.0919,1000000.0,1272960.0,43.97821765136719,0,0,0.60787
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=512)",bigann-10M,10,8826.839391366824,1891.8035,1000000.0,1272960.0,144.214700592041,0,0,0.73415
faiss-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=256)",bigann-10M,10,10312.994143853628,1893.2911,1000000.0,1272960.0,123.43263093566894,0,0,0.73376
faiss-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=16)",bigann-10M,10,95384.48943205542,249.5161,1000000.0,1272960.0,13.345566009521484,0,0,0.48823999999999995
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=512)",bigann-10M,10,6341.558114035751,3704.3752,1000000.0,1272960.0,200.7330023803711,0,0,0.76592
faiss-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=8)",bigann-10M,10,152201.9051075025,63.1279,1000000.0,1272960.0,8.363627243041991,0,0,0.26875
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=512)",deep-10M,10,9285.409570008662,46550.5984,1000000.0,2543980.0,273.9760675950051,0,0,0.77934
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=512)",deep-10M,10,15414.81177394571,23875.111,1000000.0,2543980.0,165.03477546834947,0,0,0.76954
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=128)",deep-10M,10,59093.34776042019,6210.7619,1000000.0,2543980.0,43.05019255828857,0,0,0.7112700000000001
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=32)",deep-10M,10,20901.35415410467,23893.6209,1000000.0,2543980.0,121.71364502239229,0,0,0.75799
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=32)",deep-10M,10,175027.39560251546,1591.2067,1000000.0,2543980.0,14.534753209590912,0,0,0.55579
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=64)",deep-10M,10,20304.644411278186,23935.4478,1000000.0,2543980.0,125.29054675722121,0,0,0.7669900000000001
buddy-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=4)",deep-10M,10,267536.53324828576,406.4264,1000000.0,2543980.0,9.508906948566437,0,0,0.27911
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=256)",deep-10M,10,18494.129619724936,23879.719,1000000.0,2543980.0,137.55608143281938,0,0,0.76949
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=256)",deep-10M,10,30897.54016241764,12204.3384,1000000.0,2543980.0,82.33600431060792,0,0,0.7494
buddy-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=8)",deep-10M,10,247888.84226452562,807.116,1000000.0,2543980.0,10.262583732128144,0,0,0.42866
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=64)",deep-10M,10,65462.15051145427,6216.3953,1000000.0,2543980.0,38.861845816612245,0,0,0.71092
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=4)",deep-10M,10,200012.58929337823,1605.8269,1000000.0,2543980.0,12.71909937763214,0,0,0.50896
buddy-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=8)",deep-10M,10,355341.08238164627,404.347,1000000.0,2543976.0,7.159251001739502,0,0,0.32144
buddy-t1,"FaissIVFPQ(nprobe=2,quantizer_efSearch=16)",deep-10M,10,320229.65688894317,402.3868,1000000.0,2543976.0,7.944223607254028,0,0,0.3288
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=8)",deep-10M,10,72168.63593269566,6246.3014,1000000.0,2543980.0,35.25049305868149,0,0,0.66634
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=64)",deep-10M,10,107744.34023576678,3148.3141,1000000.0,2543980.0,23.611263426303864,0,0,0.6477299999999999
buddy-t1,"FaissIVFPQ(nprobe=4,quantizer_efSearch=4)",deep-10M,10,244832.79144022928,808.2758,1000000.0,2543980.0,10.390683310985565,0,0,0.36682000000000003
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=128)",deep-10M,10,35080.401396423294,12209.5633,1000000.0,2543980.0,72.51855448436737,0,0,0.74907
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=16)",deep-10M,10,39187.63950358447,12237.5344,1000000.0,2543980.0,64.91791881895065,0,0,0.72601
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=16)",deep-10M,10,188369.20202637158,1595.902,1000000.0,2543980.0,13.505286281585693,0,0,0.55242
buddy-t1,"FaissIVFPQ(nprobe=8,quantizer_efSearch=8)",deep-10M,10,200096.55843598233,1603.654,1000000.0,2543980.0,12.713761895179749,0,0,0.52678
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=16)",deep-10M,10,123860.60342969191,3163.3245,1000000.0,2543980.0,20.539057049274444,0,0,0.63773
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=64)",deep-10M,10,37303.19411018675,12224.9102,1000000.0,2543980.0,68.19737721347809,0,0,0.74819
buddy-t1,"FaissIVFPQ(nprobe=1,quantizer_efSearch=4)",deep-10M,10,277259.86104959773,204.869,1000000.0,2543980.0,9.175435601711275,0,0,0.195
buddy-t1,"FaissIVFPQ(nprobe=16,quantizer_efSearch=32)",deep-10M,10,116914.72310724211,3153.0277,1000000.0,2543980.0,21.75927832174301,0,0,0.6458
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=64)",deep-10M,10,10804.97126611483,46469.0791,1000000.0,2543980.0,235.4453276500702,0,0,0.7746999999999999
buddy-t1,"FaissIVFPQ(nprobe=32,quantizer_efSearch=32)",deep-10M,10,69432.11822138201,6229.2384,1000000.0,2543980.0,36.639815479755406,0,0,0.70741
buddy-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=128)",deep-10M,10,10490.265569061912,46629.5253,1000000.0,2543980.0,242.50863653087615,0,0,0.77819
buddy-t1,"FaissIVFPQ(nprobe=64,quantizer_efSearch=32)",deep-10M,10,38534.012942962036,12249.3044,1000000.0,2543980.0,66.01907784080505,0,0,0.74235
buddy-t1,"FaissIVFPQ(nprobe=128,quantizer_efSearch=128)",deep-10M,10,19591.76962421468,23898.7614,1000000.0,2543980.0,129.84942395687102,0,0,0.76901
faiss-t1,"FaissIVFPQ(nprobe=256,quantizer_efSearch=64)",deep-10M,10,9903.400440497013,4267.9253,1000000.0,1881276.0,189.9626306442261,0,0,0.76836
